rounds_per_decare,work_per_round_J,energy_per_round_Wh,energy_per_decare_Wh,harvested_energy_per_day_Wh,decares_per_day_energy_limited,rounds_per_day,usable_time_s,operation_time_s,travel_time_s,operation_distance_m_day,travel_distance_m_day,operation_speed_m_s,travel_speed_m_s,winch_output_power_W,winch_input_power_W,harvested_power_W,surplus_power_W,battery_chargeable_Wh,battery_required_Wh,grid_charge_needed_Wh,battery_sufficient,decares_per_day_offgrid,decares_per_year,fuel_savings_usd_year,electricity_savings_usd_year,sales_price_usd,payback_months_vs_fuel,payback_months_vs_electric,draft_load_N
10.0,71000.0,39.44444444444444,394.44444444444446,19200.0,48.67605633802817,486.76056338028167,6794.366197183099,5435.492957746479,1358.8732394366198,24338.028169014084,25311.549295774646,4.477611940298507,18.626865671641788,1343.283582089552,2686.567164179104,3100.0,413.4328358208959,2480.5970149253753,7680.000000000001,5199.402985074626,True,35.49447130544461,8274.929577464789,16549.859154929578,5295.954929577466,19950.0,14.465379901960784,45.20431219362744,300
10.0,86000.0,47.77777777777778,477.77777777777777,19200.0,40.18604651162791,401.8604651162791,11888.372093023252,9510.697674418601,2377.674418604651,20093.023255813954,20896.74418604651,2.112676056338029,8.788732394366198,1267.6056338028175,2535.211267605635,3100.0,564.7887323943651,3388.7323943661904,7680.000000000001,4291.2676056338105,True,31.204323616115282,6831.627906976744,13663.255813953489,4372.241860465117,19950.0,17.521446078431374,54.75451899509804,600
10.0,101000.0,56.111111111111114,561.1111111111111,19200.0,34.21782178217822,342.1782178217822,15469.306930693067,12375.445544554454,3093.861386138613,17108.91089108911,17793.26732673267,1.382488479262673,5.75115207373272,1244.2396313364059,2488.4792626728117,3100.0,611.5207373271883,3669.1244239631296,7680.000000000001,4010.8755760368713,True,27.069726696171912,5817.029702970297,11634.059405940594,3722.89900990099,19950.0,20.57751225490196,64.30472579656862,900
10.0,116000.0,64.44444444444444,644.4444444444445,19200.0,29.79310344827586,297.9310344827586,18124.137931034486,14499.310344827589,3624.8275862068967,14896.551724137931,15492.41379310345,1.0273972602739725,4.273972602739726,1232.876712328767,2465.753424657534,3100.0,634.2465753424658,3805.479452054795,7680.000000000001,3874.520547945206,True,23.780916391119508,5064.827586206897,10129.655172413793,3241.4896551724146,19950.0,23.63357843137255,73.8549325980392,1200
10.0,131000.0,72.77777777777777,727.7777777777777,19200.0,26.38167938931298,263.8167938931298,20170.99236641221,16136.793893129769,4034.198473282442,13190.83969465649,13718.47328244275,0.8174386920980928,3.4005449591280663,1226.1580381471392,2452.3160762942784,3100.0,647.6839237057216,3886.1035422343293,7680.000000000001,3793.8964577656716,True,21.168691890092973,4484.885496183207,8969.770992366413,2870.3267175572523,19950.0,26.689644607843135,83.40513939950979,1500
10.0,146000.0,81.11111111111111,811.1111111111111,19200.0,23.67123287671233,236.71232876712332,21797.2602739726,17437.80821917808,4359.452054794518,11835.616438356166,12309.041095890412,0.6787330316742083,2.8235294117647083,1221.7194570135748,2443.4389140271496,3100.0,656.5610859728504,3939.3665158371023,7680.000000000001,3740.6334841628986,True,19.059492964730676,4024.109589041096,8048.219178082192,2575.430136986302,19950.0,29.745710784313722,92.95534620098037,1800
10.0,161000.0,89.44444444444444,894.4444444444445,19200.0,21.46583850931677,214.6583850931677,23120.49689440994,18496.39751552795,4624.099378881987,10732.919254658385,11162.23602484472,0.5802707930367504,2.413926499032882,1218.5686653771759,2437.1373307543518,3100.0,662.8626692456482,3977.1760154738895,7680.000000000001,3702.8239845261114,True,17.326035296803106,3649.1925465838513,7298.3850931677025,2335.483229813665,19950.0,32.80177696078431,102.50555300245097,2100
10.0,176000.0,97.77777777777777,977.7777777777777,19200.0,19.636363636363637,196.36363636363637,24218.181818181816,19374.545454545452,4843.636363636364,9818.181818181818,10210.90909090909,0.5067567567567568,2.108108108108108,1216.2162162162163,2432.4324324324325,3100.0,667.5675675675675,4005.405405405405,7680.0,3674.594594594595,True,15.878255528255528,3338.181818181818,6676.363636363636,2136.4363636363637,19950.0,35.8578431372549,112.05575980392156,2400
10.0,191000.0,106.11111111111111,1061.111111111111,19200.0,18.094240837696336,180.94240837696336,25143.455497382198,20114.76439790576,5028.691099476437,9047.120418848168,9409.005235602095,0.4497751124437781,1.8710644677661183,1214.3928035982008,2428.7856071964015,3100.0,671.2143928035985,4027.2863568215907,7680.000000000001,3652.71364317841,True,14.651892901716682,3076.0209424083773,6152.041884816755,1968.6534031413617,19950.0,38.91390931372548,121.60596660539213,2700
10.0,206000.0,114.44444444444444,1144.4444444444443,19200.0,16.776699029126217,167.76699029126218,25933.98058252427,20747.18446601942,5186.796116504851,8388.34951456311,8723.883495145634,0.40431266846361197,1.681940700808627,1212.938005390836,2425.876010781672,3100.0,674.123989218328,4044.743935309968,7680.000000000002,3635.256064690034,True,13.600261691047546,2852.038834951457,5704.077669902914,1825.3048543689326,19950.0,41.96997549019607,131.1561734068627,3000
10.0,221000.0,122.77777777777777,1227.7777777777778,19200.0,15.638009049773755,156.38009049773754,26617.194570135747,21293.7556561086,5323.438914027149,7819.004524886877,8131.764705882352,0.3671970624235006,1.5275397796817627,1211.7503059975518,2423.5006119951036,3100.0,676.4993880048964,4058.9963280293787,7680.0,3621.0036719706213,True,12.688775289797684,2658.4615384615386,5316.923076923077,1701.4153846153847,19950.0,45.026041666666664,140.70638020833331,3300
