,value
rounds_per_decare,10.0
work_per_round_J,191000.0
energy_per_round_Wh,106.11111111111111
energy_per_decare_Wh,1061.111111111111
harvested_energy_per_day_Wh,19200.0
decares_per_day_energy_limited,18.094240837696336
rounds_per_day,180.94240837696336
usable_time_s,25143.455497382198
operation_time_s,20114.76439790576
travel_time_s,5028.691099476437
operation_distance_m_day,9047.120418848168
travel_distance_m_day,9409.005235602095
operation_speed_m_s,0.4497751124437781
travel_speed_m_s,1.8710644677661183
winch_output_power_W,1214.3928035982008
winch_input_power_W,2428.7856071964015
harvested_power_W,3100.0
surplus_power_W,671.2143928035985
battery_chargeable_Wh,4027.2863568215907
battery_required_Wh,7680.000000000001
grid_charge_needed_Wh,3652.71364317841
battery_sufficient,True
decares_per_day_offgrid,14.651892901716682
decares_per_year,3076.0209424083773
fuel_savings_usd_year,6152.041884816755
electricity_savings_usd_year,1968.6534031413617
sales_price_usd,19950.0
payback_months_vs_fuel,38.91390931372548
payback_months_vs_electric,121.60596660539213
