rounds_per_decare,work_per_round_J,energy_per_round_Wh,energy_per_decare_Wh,harvested_energy_per_day_Wh,decares_per_day_energy_limited,rounds_per_day,usable_time_s,operation_time_s,travel_time_s,operation_distance_m_day,travel_distance_m_day,operation_speed_m_s,travel_speed_m_s,winch_output_power_W,winch_input_power_W,harvested_power_W,surplus_power_W,battery_chargeable_Wh,battery_required_Wh,grid_charge_needed_Wh,battery_sufficient,decares_per_day_offgrid,decares_per_year,fuel_savings_usd_year,electricity_savings_usd_year,sales_price_usd,payback_months_vs_fuel,payback_months_vs_electric,setup_time_s
10.0,191000.0,106.11111111111111,1061.111111111111,19200.0,18.094240837696336,180.94240837696336,32381.15183246073,25904.921465968586,6476.230366492146,9047.120418848168,9409.005235602095,0.3492433061699651,1.4528521536670551,942.9569266589058,1885.9138533178116,3100.0,1214.0861466821884,7284.516880093131,7680.000000000001,395.48311990687034,True,17.7215342325485,3076.0209424083773,6152.041884816755,1968.6534031413617,19950.0,38.91390931372548,121.60596660539213,20
10.0,191000.0,106.11111111111111,1061.111111111111,19200.0,18.094240837696336,180.94240837696336,30571.727748691097,24457.38219895288,6114.3455497382165,9047.120418848168,9409.005235602095,0.36991368680641185,1.5388409371146743,998.766954377312,1997.533908754624,3100.0,1102.466091245376,6614.796547472256,7680.000000000001,1065.203452527745,True,17.090384180863907,3076.0209424083773,6152.041884816755,1968.6534031413617,19950.0,38.91390931372548,121.60596660539213,30
10.0,191000.0,106.11111111111111,1061.111111111111,19200.0,18.094240837696336,180.94240837696336,28762.303664921466,23009.842931937175,5752.460732984291,9047.120418848168,9409.005235602095,0.3931847968545216,1.6356487549148107,1061.5989515072083,2123.1979030144166,3100.0,976.8020969855834,5860.8125819135,7680.000000000001,1819.1874180865007,True,16.37982337562529,3076.0209424083773,6152.041884816755,1968.6534031413617,19950.0,38.91390931372548,121.60596660539213,40
10.0,191000.0,106.11111111111111,1061.111111111111,19200.0,18.094240837696336,180.94240837696336,26952.879581151832,21562.303664921466,5390.575916230366,9047.120418848168,9409.005235602095,0.4195804195804196,1.7454545454545458,1132.8671328671328,2265.7342657342656,3100.0,834.2657342657344,5005.594405594406,7680.000000000001,2674.4055944055945,True,15.573858602130855,3076.0209424083773,6152.041884816755,1968.6534031413617,19950.0,38.91390931372548,121.60596660539213,50
10.0,191000.0,106.11111111111111,1061.111111111111,19200.0,18.094240837696336,180.94240837696336,25143.455497382198,20114.76439790576,5028.691099476437,9047.120418848168,9409.005235602095,0.4497751124437781,1.8710644677661183,1214.3928035982008,2428.7856071964015,3100.0,671.2143928035985,4027.2863568215907,7680.000000000001,3652.71364317841,True,14.651892901716682,3076.0209424083773,6152.041884816755,1968.6534031413617,19950.0,38.91390931372548,121.60596660539213,60
10.0,191000.0,106.11111111111111,1061.111111111111,19200.0,18.094240837696336,180.94240837696336,23334.031413612567,18667.225130890056,4666.806282722511,9047.120418848168,9409.005235602095,0.4846526655896607,2.0161550888529898,1308.562197092084,2617.124394184168,3100.0,482.87560581583193,2897.2536348949916,7680.000000000001,4782.746365105009,True,13.586940598330358,3076.0209424083773,6152.041884816755,1968.6534031413617,19950.0,38.91390931372548,121.60596660539213,70
10.0,191000.0,106.11111111111111,1061.111111111111,19200.0,18.094240837696336,180.94240837696336,21524.607329842933,17219.685863874347,4304.921465968586,9047.120418848168,9409.005235602095,0.5253940455341506,2.1856392294220672,1418.5639229422065,2837.127845884413,3100.0,262.8721541155869,1577.2329246935215,7680.000000000001,6102.7670753064795,True,12.342942023271382,3076.0209424083773,6152.041884816755,1968.6534031413617,19950.0,38.91390931372548,121.60596660539213,80
10.0,191000.0,106.11111111111111,1061.111111111111,19200.0,18.094240837696336,180.94240837696336,19715.1832460733,15772.14659685864,3943.0366492146586,9047.120418848168,9409.005235602095,0.5736137667304015,2.3862332695984714,1548.757170172084,3097.514340344168,3100.0,2.4856596558320234,14.91395793499214,7680.000000000001,7665.086042065009,True,10.870599541509417,3076.0209424083773,6152.041884816755,1968.6534031413617,19950.0,38.91390931372548,121.60596660539213,90
10.0,191000.0,106.11111111111111,1061.111111111111,19200.0,18.094240837696336,180.94240837696336,17905.759162303664,14324.607329842933,3581.1518324607314,9047.120418848168,9409.005235602095,0.631578947368421,2.627368421052633,1705.2631578947367,3410.5263157894733,3100.0,-310.5263157894733,0.0,7680.000000000001,7680.000000000001,True,10.856544502617801,3076.0209424083773,6152.041884816755,1968.6534031413617,19950.0,38.91390931372548,121.60596660539213,100
10.0,191000.0,106.11111111111111,1061.111111111111,19200.0,18.094240837696336,180.94240837696336,16096.33507853403,12877.068062827224,3219.267015706806,9047.120418848168,9409.005235602095,0.7025761124121781,2.922716627634661,1896.9555035128808,3793.9110070257616,3100.0,-693.9110070257616,0.0,7680.000000000001,7680.000000000001,True,10.856544502617801,3076.0209424083773,6152.041884816755,1968.6534031413617,19950.0,38.91390931372548,121.60596660539213,110
10.0,191000.0,106.11111111111111,1061.111111111111,19200.0,18.094240837696336,180.94240837696336,14286.910994764396,11429.528795811517,2857.3821989528788,9047.120418848168,9409.005235602095,0.7915567282321901,3.2928759894459114,2137.2031662269137,4274.406332453827,3100.0,-1174.4063324538274,0.0,7680.000000000001,7680.000000000001,True,10.856544502617801,3076.0209424083773,6152.041884816755,1968.6534031413617,19950.0,38.91390931372548,121.60596660539213,120
