draft_N_center,n,p10,p50,p90
1650.0,105,8.673544336473888,13.895052004374838,29.612018218714006
1950.0,99,6.827335084417944,13.464370285898854,24.266843563447974
2250.0,89,6.042383882543696,12.185289457600152,21.827705837854644
2550.0,96,5.712826474622501,11.788550136321414,22.32415202642538
2850.0,117,5.1503864130037815,9.837751575431874,18.37944162068242
3150.0,81,5.4977343720097425,10.444205405351962,20.077420620356868
3450.0,109,4.221507060047964,7.811808037506994,15.918867628836459
3750.0,90,4.3682501166645675,9.034089436653542,19.625166163512503
4050.0,106,4.571375356364154,8.010140790029713,14.852222019561662
4350.0,108,3.7754996901464772,8.017960741809418,15.730776634696367
