implement,category,F_continuous_N,F_peak_N,v_continuous_m_s,v_peak_m_s,P_continuous_baseline_W,P_peak_baseline_W,P_continuous_premium_W,P_peak_premium_W,peak_to_continuous
narrow_ripper_1shank,primary_tillage,3021.837990173735,3841.4936690479567,0.5,0.5,3013.274851237768,3830.607829331644,2034.9064548830258,2586.8627930938605,1.2712440844080781
narrow_chisel_4tool,primary_tillage,4175.3415125468,5608.762169932584,0.5,0.5,4163.509630892882,5592.868329866999,2811.67601401889,3776.9418415589366,1.3433062069481956
narrow_disk_1p5m,secondary_tillage,3235.5762975916714,4832.163172058648,0.5,0.5,3226.4074773358225,4818.470020824812,2178.8378843093683,3253.9798830528475,1.4934474503523099
narrow_cultivator_6tool,secondary_tillage,1350.0234739782022,2029.5577618074005,0.5,0.5,1346.197842487671,2023.8064987848823,909.1061434712809,1366.704702068552,1.503349979409447
narrow_sweep_1p5m,primary_tillage,5116.774039456084,7262.030095290909,0.5,0.5,5102.274371655795,7241.451304215622,3445.6369120134245,4890.25287408365,1.4192594864053967
codesign_planter_4row,seeding,1938.5993610607527,2022.8934234721926,0.5,0.5,1933.1058515728448,2017.1610455306304,1305.45329236126,1362.216934974506,1.0434819406756206
codesign_drill_12row,seeding,4645.8619248705745,4853.9295284385935,0.5,0.5,4632.696705136972,4840.174696752523,3128.524576815873,3268.637352857934,1.0447855762682432
codesign_rotary_hoe_2m,weeding,788.1001818129948,822.9106116136069,0.5,0.5,785.8669014802072,820.5786871616531,530.7068586339227,554.1482107278665,1.0441700568074124
codesign_sprayer_1m,spraying,142.90343336525177,149.31586386498216,0.5,0.5,142.49848049937592,148.8927397624401,96.23120760460705,100.54933989952865,1.044872473310985
codesign_mower_1p5m,mowing,523.0597774333248,546.5343909463755,0.5,0.5,521.5775558315903,544.9856481156294,352.22858434166324,368.03639492546125,1.0448794086753173
